song,artist,album,album_type,release_date,url,id
Lo Mejor de Tu Vida - Sessions,Chavi Leons,Lo Mejor de Tu Vida (Sessions),single,2024-06-07,https://open.spotify.com/track/4BZOpqrI4da2fQlHBNsmtg,4BZOpqrI4da2fQlHBNsmtg
Lento,Tony Lozano,Lento,single,2024-06-07,https://open.spotify.com/track/7kfRlvxo8GgmSkcxSnyA6H,7kfRlvxo8GgmSkcxSnyA6H
Si Tú Supieras - Bachata Version,DJ Clau,Si Tú Supieras (Bachata Version),single,2024-06-07,https://open.spotify.com/track/7m3RhLZLkTombwkvU1K3Kp,7m3RhLZLkTombwkvU1K3Kp
Ajedrez,Mario Baro,Ajedrez,single,2024-06-07,https://open.spotify.com/track/6MeDO0DYKpWF6YRIxUnyDV,6MeDO0DYKpWF6YRIxUnyDV
Urano,Felix,Urano,single,2024-06-07,https://open.spotify.com/track/2oXpRKKhoVZjyNCxoqypEB,2oXpRKKhoVZjyNCxoqypEB
Loco De Remate,Kiko Rodriguez,Loco De Remate,single,2024-06-07,https://open.spotify.com/track/2l36HfaR7ePFjDpSsAbklK,2l36HfaR7ePFjDpSsAbklK
Intro - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/5FWzDTAOdmd2m6DMrNOuhr,5FWzDTAOdmd2m6DMrNOuhr
La Vieja Y Su Pipa - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/4zq3tGvaDtVGII6gnjSUib,4zq3tGvaDtVGII6gnjSUib
El Pompo - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/6YpEhfhD3CPgtWxzELvpX5,6YpEhfhD3CPgtWxzELvpX5
"Popurrí: La Va Pagar, Más Que Tu Amigo, Cúando Volverás - En Vivo",Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/4lNbdOfrUqoBcIJy0u5CKg,4lNbdOfrUqoBcIJy0u5CKg
Agárralo Que Eso Es Tuyo - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/5BSfx7eyXABnn365voE8wt,5BSfx7eyXABnn365voE8wt
Mi Último Deseo - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/2FdVpY0uCmDh7vzJr4pQDB,2FdVpY0uCmDh7vzJr4pQDB
Malo - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/0eGoWAV9pkXFGJ99OnDEyf,0eGoWAV9pkXFGJ99OnDEyf
Olvidarme de Ti - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/0t8Tqvi6EWJ6OGBVq3UcAC,0t8Tqvi6EWJ6OGBVq3UcAC
Uno No Sabe Lo Que Tiene - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/7wqXSmkUIPm5UBLRq638lK,7wqXSmkUIPm5UBLRq638lK
Homenaje a Sandy Reyes - En Vivo,Krisspy,EL BOMBAZO (En Vivo),album,2024-06-07,https://open.spotify.com/track/4G3szaBaIdJyin7fmktIW5,4G3szaBaIdJyin7fmktIW5
12 Rosas - Bachata Urbana,Senor Bachata,12 Rosas (Bachata Urbana),single,2024-06-07,https://open.spotify.com/track/4VNlMzhJIvsyFDE24nnQ2c,4VNlMzhJIvsyFDE24nnQ2c
PIEL - Bachata Version,Sebas Garreta,PIEL (Bachata Version),single,2024-06-08,https://open.spotify.com/track/4AK5sDO2FQJ2uJ3qhFOgm4,4AK5sDO2FQJ2uJ3qhFOgm4
